brand,model,year,mileage,transmission,location,fuel_type,price,grade
Mitsubishi,XPANDER SPORT 1.5,2022,80382,Manual,Palembang,Bensin,213000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,62289,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,49708,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,54488,Manual,Semarang,Bensin,130000000,B
Toyota,FORTUNER G 2.4,2020,93225,Automatic,Jakarta - Tipar,Diesel,344000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,50468,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,48013,Manual,Semarang,Bensin,130000000,B
Honda,JAZZ S 1.5,2018,87763,Manual,Semarang,Bensin,160500000,B
Wuling,ALMAZ SMART ENJOY 1.5,2021,80054,Automatic,Manado,Bensin,140000000,B
Nissan,X TRAIL 2.5,2021,62393,Automatic,Pontianak,Bensin,233000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,51900,Manual,Semarang,Bensin,130000000,B
Nissan,X-TRAIL UPPER 2.5,2021,58203,Automatic,Pekanbaru,Bensin,253000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,48095,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,32932,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,77629,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,37360,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,68219,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,77273,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,80700,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,39317,Manual,Semarang,Bensin,130000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,73527,Manual,Semarang,Bensin,130000000,B
Toyota,INNOVA VENTURER 2.4,2021,102966,Automatic,Gedangan,Diesel,337000000,C
Mitsubishi,TRITON DC HDX (4X4) 2.5,2022,136633,Manual,Balikpapan,Diesel,130000000,C
Wuling,CONFERO 1.5,2020,96228,Manual,Manado,Bensin,77000000,C
Toyota,AVANZA G 1.3,2021,75516,Automatic,Balikpapan,Bensin,125000000,C
Toyota,CALYA E 1.2,2020,158170,Manual,Palembang,Bensin,88000000,C
Honda,CR-V PRESTIGE 1.5,2019,102540,Automatic,Jakarta Raya,Bensin,290000000,C
Toyota,FORTUNER VRZ 2.8,2022,89003,Automatic,Balikpapan,Diesel,425000000,C
Suzuki,XL 7 BETA 1.5,2022,140834,Automatic,Palembang,Bensin,160000000,C
